school_name,urgent_issues,visit_reason,activities,observations,visit_date,visitor,issue_id
Akwanserem,The lantern group was recognized immediately,"Routine Visit,MGR/Charging Maintenance","Routine Visit,MGR/Charging Maintenance",NA,2026-01-12,Richard,1c536a9b85a9
Bahankra,The school borehole isn’t working well,Routine Visit,Routine Visit,NA,2026-01-12,Richard,7987dcd738ac
Domase,Immediate training for the science kits program,"Routine Visit,Look at the borehole and the classroom",Routine Visit,Student population are increasing. Their classroom isn’t sufficient to cater for the students body,2026-01-12,Richard,69182b15ce94
Abrenya,I met with the Headmaster and the SMC chairman to finds ways to improve the use.,"Routine Visit,Initiate the process of building a computer Lab","Routine Visit,Student Survey Team Visit",The school is doing well in academics. Since they got electricity recently. The school has wired all classroom with light and are doing night studies for the students who stay in close proximity,2026-01-14,Richard,deccb47f041e
Bepotumtum,Leakage at the one of the windows of the lab. Rains come inside the lab.,"Computer Maintenance,Student Survey Team Visit","Routine Visit,Computer Maintenance,Student Survey Team Visit",NA,2026-01-19,Richard,4c0febebf03b
Akwansu,"New charging stations because the JHS is far from the primary school block, we are in process of building a new charging station for the school",Routine Visit,"Routine Visit,Science Kit Training/Distribution",None,2026-01-19,Alex,c919b6321892
Tun Tun,Parent teacher meeting to help the parents understand the lantern program,"Routine Visit,MGR/Charging Maintenance","Routine Visit,MGR/Charging Maintenance,Science Kit Training/Distribution,Student Survey Team Visit",NA,2026-01-27,Richard,79d4e78cc06c
Ekorso Akwadum,They are relocating to a new rooms shortly,Computer Maintenance,Computer Maintenance,NA,2026-02-12,Richard,09c7ca8732f8
Dagomba,Increase of computers or improve current schedule,"MGR/Charging Maintenance,Computer Maintenance,Science Kit Training/Distribution",MGR/Charging Maintenance,NA,2026-02-23,Richard,915e27a7110f
Bahankra,The issue with the teachers bungalow is still not resolved.,"Routine Visit, Lantern Replacement","Routine Visit, MGR/Charging Maintenance, Lantern Replacement",There is a construction of CHIP compound close to the school. Information is that it will provide health care for the community,2026-04-29,Richard,b881ea29ada5
Anateem Sumbrungu,Teachers are planning to have a PTA meeting to review that,"Routine Visit, Full Update Survey","Routine Visit, Student Survey Team Visit",NA,2026-05-13,Richard,a2c37dbdcfea
Dagomba,Teacher training,MGR/Charging Maintenance,"MGR/Charging Maintenance, Computer Maintenance",NA,2026-05-15,Richard,541810e35dbf
